S.No.,State Code,State Name (In English),District Code,District Name (In English),Development Block Code,Development Block Version,Development Block Name (In English),Development Block Name (In Local)
1739,30,Goa,551,North Goa,5929,1,Bardez,
1740,30,Goa,551,North Goa,5930,5,Bicholim,
1741,30,Goa,551,North Goa,5931,1,Pernem,
1742,30,Goa,551,North Goa,5933,5,Satari,
1743,30,Goa,551,North Goa,5934,2,Tiswadi,
1744,30,Goa,552,South Goa,5935,1,Canacona,
1745,30,Goa,552,South Goa,6841,1,Dharbandora,
1746,30,Goa,552,South Goa,5936,1,Mormugao,
1747,30,Goa,552,South Goa,5932,2,Ponda,
1748,30,Goa,552,South Goa,5937,1,Quepem,
1749,30,Goa,552,South Goa,5938,1,Salcete,
1750,30,Goa,552,South Goa,5939,2,Sanguem,
