S.No.,State Code,State Name,District Code,District Name,Sub-district Code,Sub-district Version,Sub-district Name,Census 2001 code,Census 2011 code
627,30,Goa,551,North Goa,5610,1,Bardez,2,5610
976,30,Goa,551,North Goa,5612,2,Bicholim,4,5612
1165,30,Goa,552,South Goa,5619,1,Canacona,5,5619
1723,30,Goa,552,South Goa,5931,1,Dharbandora,,0
4339,30,Goa,552,South Goa,5615,1,Mormugao,1,5615
5169,30,Goa,551,North Goa,5609,1,Pernem,1,5609
5275,30,Goa,552,South Goa,5614,2,Ponda,6,5614
5387,30,Goa,552,South Goa,5617,3,Quepem,3,5617
5827,30,Goa,552,South Goa,5616,1,Salcete,2,5616
5894,30,Goa,552,South Goa,5618,4,Sanguem,4,5618
5980,30,Goa,551,North Goa,5613,1,Satari,5,5613
6735,30,Goa,551,North Goa,5611,2,Tiswadi,3,5611
